File_path,ExecutableType,difficulty,total,Estimation
StagingToEDW_DimSession,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimSession,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimScheduleWeek,Microsoft.Package,0,1,0
StagingToEDW_DimScheduleWeek,Microsoft.ExecuteSQLTask,1,6,6
StagingToEDW_DimScheduleType,Microsoft.Package,0,1,0
StagingToEDW_DimScheduleType,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimScheduleType,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimRetentionBaseWeek,Microsoft.Package,0,1,0
StagingToEDW_DimRetentionBaseWeek,Microsoft.ExecuteSQLTask,1,3,3
StagingToEDW_DimRetentionBaseWeek,Microsoft.Pipeline,2,5,10
StagingToEDW_DimReportProfile,Microsoft.Package,0,1,0
StagingToEDW_DimReportProfile,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimReportProfile,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimQualificationType,Microsoft.Package,0,1,0
StagingToEDW_DimQualificationType,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimQualificationType,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimProgram,Microsoft.Package,0,1,0
StagingToEDW_DimProgram,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimProgram,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimPosition,Microsoft.Package,0,1,0
StagingToEDW_DimPosition,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimPosition,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimPerson,Microsoft.Package,0,1,0
StagingToEDW_DimPerson,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimPerson,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimPerformanceRating,Microsoft.Package,0,1,0
StagingToEDW_DimPerformanceRating,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimPerformanceRating,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimPeopleGroup,Microsoft.Package,0,1,0
StagingToEDW_DimPeopleGroup,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimPeopleGroup,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimPayrollType,Microsoft.Package,0,1,0
StagingToEDW_DimPayrollType,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimPayrollType,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimPaymentType,Microsoft.Package,0,1,0
StagingToEDW_DimPaymentType,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimPaymentType,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimPayRateChangeReason,Microsoft.Package,0,1,0
StagingToEDW_DimPayRateChangeReason,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimPayRateChangeReason,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimPayGrade,Microsoft.Package,0,1,0
StagingToEDW_DimPayGrade,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimPayGrade,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimPayBasi,Microsoft.Package,0,1,0
StagingToEDW_DimPayBasi,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimPayBasi,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimOrganization,Microsoft.Package,0,1,0
StagingToEDW_DimOrganization,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimOrganization,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimMeasure,Microsoft.Package,0,1,0
StagingToEDW_DimMeasure,Microsoft.ExecuteSQLTask,1,6,6
StagingToEDW_DimMeasure,Microsoft.Pipeline,2,19,38
StagingToEDW_DimMartTuitionAssistanceProvider,Microsoft.Package,0,1,0
StagingToEDW_DimMartTuitionAssistanceProvider,Microsoft.ExecuteSQLTask,1,3,3
StagingToEDW_DimMartTuitionAssistanceProvider,Microsoft.Pipeline,2,15,30
StagingToEDW_DimMartTier,Microsoft.Package,0,1,0
StagingToEDW_DimMartTier,Microsoft.ExecuteSQLTask,1,4,4
StagingToEDW_DimMartTier,Microsoft.Pipeline,2,15,30
StagingToEDW_DimMartStudent,Microsoft.Package,0,1,0
StagingToEDW_DimMartStudent,Microsoft.ExecuteSQLTask,1,4,4
StagingToEDW_DimMartStudent,Microsoft.Pipeline,2,9,18
StagingToEDW_DimMartSponsor,Microsoft.Package,0,1,0
StagingToEDW_DimMartSponsor,Microsoft.ExecuteSQLTask,1,4,4
StagingToEDW_DimMartSponsor,Microsoft.Pipeline,2,9,18
StagingToEDW_DimMartSession,Microsoft.Package,0,1,0
StagingToEDW_DimMartSession,Microsoft.ExecuteSQLTask,1,3,3
StagingToEDW_DimMartSession,Microsoft.Pipeline,2,15,30
StagingToEDW_DimMartProgram,Microsoft.Package,0,1,0
StagingToEDW_DimMartProgram,Microsoft.ExecuteSQLTask,1,3,3
StagingToEDW_DimMartProgram,Microsoft.Pipeline,2,15,30
StagingToEDW_DimMartPartner,Microsoft.Package,0,1,0
StagingToEDW_DimMartPartner,Microsoft.ExecuteSQLTask,1,4,4
StagingToEDW_DimMartPartner,Microsoft.Pipeline,2,9,18
StagingToEDW_DimMartCostCenter,Microsoft.Package,0,1,0
StagingToEDW_DimMartCostCenter,Microsoft.ExecutePackageTask,3,1,3
StagingToEDW_DimMartCostCenter,Microsoft.ExecuteSQLTask,1,6,6
StagingToEDW_DimMartCostCenter,Microsoft.Pipeline,2,19,38
StagingToEDW_DimMartAccountSubAccount,Microsoft.Package,0,1,0
StagingToEDW_DimMartAccountSubAccount,Microsoft.ExecuteSQLTask,1,7,7
StagingToEDW_DimMartAccountSubAccount,Microsoft.Pipeline,2,17,34
StagingToEDW_DimLocation,Microsoft.Package,0,1,0
StagingToEDW_DimLocation,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimLocation,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimLifecycleStatu,Microsoft.Package,0,1,0
StagingToEDW_DimLifecycleStatu,Microsoft.ExecuteSQLTask,1,5,5
StagingToEDW_DimLeaveType,Microsoft.Package,0,1,0
StagingToEDW_DimLeaveType,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimLeaveType,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimLeaveReason,Microsoft.Package,0,1,0
