File_path,store_procedure_name
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimProgram
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimSession
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimSession
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimSponsor
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimSponsor
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimStudent
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimStudent
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimTier
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimTuitionAssistanceProvider
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimTuitionAssistanceProvider
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_DimDate
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingGenerate_HrAllOrganizationUnits
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_BridgeCompanyRollup
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_DimAccountSubAccount
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_DimCompany
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_DimCompanyRollup
StagingToEDW_StagingToEDW_Dimension_GLandHR,spGL_StagingToEDW_DimCostCenterType
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingGenerate_OrgLeaderAccess
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_BridgeSecurityPersonHRISGroup
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_BridgeSecurityPersonOrg
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimAssessmentType
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimAssignmentType
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimComplianceItem
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimComplianceRating
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimHRUser
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimLeaveReason
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimLeaveType
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimLocation
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimOrganization
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPayBasis
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPayGrade
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPeopleGroup
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPerformanceRating
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPerson
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPosition
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimQualificationType
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimSpecialInfo
StagingToEDW_StagingToEDW_Dimension_GLandHR,spHR_StagingToEDW_DimPayRateChangeReason
StagingToEDW_StagingToEDW_Dimension_GLandHR,spMISC_StagingToEDW_DimReportProfile
StagingToEDW_StagingToEDW_Dimension_StudentLeads,spSalesforce_StagingToEDW_DimLead
StagingToEDW_StagingToEDW_Dimension_StudentLeads,spSalesForce_StagingToEDW_DimLeadType
StagingToEDW_StagingToEDW_Dimension_StudentLeads,spSalesForce_StagingToEDW_DimWebCampaign
StagingToEDW_StagingToEDW_Fact_ARBalanceSnapshot,spCMS_BatchLoad_StagingToEDW_FactARBalanceSnapshot
StagingToEDW_StagingToEDW_Fact_ARBalanceSnapshot,spCSS_BatchLoad_StagingToEDW_FactARBalanceSnapshot
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransactions,spCMS_StagingToEDW_FactAdjustment
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransactions,spCMS_BatchLoad_StagingToEDW_FactBilling
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransactions,spCMS_BatchLoad_StagingToEDW_FactPayment
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransactions,spCMS_StagingToEDW_FactPaymentApplied
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,spCMS_StagingToEDW_FactSessionEnrollment
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,spCMS_StagingToEDW_FactTierAssignment
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,spGL_BatchLoad_StagingToEDW_FactCenterStatSnapshot
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,spPRO_BatchLoad_StagingToEDW_FactNetRevenue
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,spCMS_BatchLoad_StagingToEDW_FactNetRevenue
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,spUpdateStatistics
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,spHOR_BatchLoad_StagingToEDW_FactNetRevenue
StagingToEDW_StagingToEDW_Fact_FTESnapshot,spCambridge_BatchLoad_StagingToEDW_FactFTESnapshot
StagingToEDW_StagingToEDW_Fact_FTESnapshot,spCMS_BatchLoad_StagingToEDW_FactFTESnapshot
StagingToEDW_StagingToEDW_Fact_FTESnapshot,spUpdateStatistics
StagingToEDW_StagingToEDW_Fact_GLBalancePlanAllocation,spMISC_BatchLoad_StagingToEDW_FactGLBalancePlanAllocation
StagingToEDW_StagingToEDW_Fact_GLBalances,spGL_BatchLoad_StagingToEDW_FactGLBalance
StagingToEDW_StagingToEDW_Fact_GLBalances,spUpdateStatistics
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeeAssessment
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeeAssignment
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeeCompliance
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeeLeave
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeePayRate
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeePerformance
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactEmployeeQualification
StagingToEDW_StagingToEDW_Fact_HREmployee,spHR_StagingToEDW_FactPersonSpecialInfo
StagingToEDW_StagingToEDW_Fact_LifecycleStatusSnapshot,spCMS_BatchLoad_StagingToEDW_FactLifecycleStatusSnapshot
StagingToEDW_StagingToEDW_Fact_StudentLeads,spSalesForce_StagingToEDW_FactLeadEvent
StagingToEDW_StagingToEDW_Fact_StudentLeads,spSalesForce_StagingToEDW_FactLeadPipeline
StagingToEDW_StagingToEDW_Fact_StudentLeads,spSalesForce_StagingGenerate_LookupMethodOfContact
